,AZ,SC,LA,MN,NJ,OR,,VA,RI,KY,WY,NH,MI,NV,WI,ID,CA,CT,NE,MT,NC,VT,MD,DE,MO,IL,ME,WA,ND,MS,AL,IN,OH,TN,NM,IA,PA,SD,NY,TX,WV,GA,MA,KS,FL,CO,AK,AR,OK,UT,HI,Unemployment Rate,Consumer Price Index for All Urban Consumers,Effective Federal Funds Rate,Gross Domestic Product
11-2021,1713.9529740926362,1421.6607893122614,1216.4794301823692,1205.5786627445943,1803.6133826785679,1657.231380386591,1779.6744447525307,1429.9585446145993,1674.6307993795924,1024.0554067937805,979.0868253164108,1590.3410158562178,1105.8058397028071,1723.5476994683677,1027.400031982297,1376.883170114476,2242.554194649988,1691.1616887983132,1130.7352290474187,1358.034243770444,1402.6927846601861,1646.5359612595842,1486.581475066973,1592.7795401002784,1014.1920558574021,1007.8990547524372,1434.9737361736588,1694.4575841364997,957.082652141276,1214.5579574990106,1224.704402549616,1010.7772293022998,1031.5638044556154,1283.5056834117588,1381.3630767437533,973.0793235987122,1202.9939910557769,1063.6339609508739,1468.9626052260064,1255.6191663791037,1019.2034568785847,1331.3678846635178,1817.6751540462974,904.6730556196386,1843.190773053916,1750.979137616252,1430.6791891462858,1095.3511820577962,1069.8569199267897,1856.9044221624893,2571.7605442998806,4.1,278.799,0.08,24654.603
12-2021,1631.4513876554063,1429.5916943422083,1251.3993561809857,1215.6247353894103,1827.637107089908,1651.1577404234379,1790.0111249974516,1443.2891909568964,1679.3834119085623,1029.5404574188701,989.214279260942,1598.8619816131747,1109.15872180673,1715.5173145829258,1044.144440716495,1376.2168954685312,2216.619221779842,1696.9200253101258,1036.9342650575602,1361.4242642564423,1409.5165127444573,1660.6782944167442,1498.474157767516,1596.1423656525103,1017.0626328292045,1014.0869298021177,1443.3523304157864,1662.5774568798201,958.8526781604202,1225.0194416834981,1232.5836623040466,1015.7223414851203,1036.280433451927,1252.6623873134279,1392.8915354225062,979.5984514229003,1210.2416876253435,1077.66496508885,1478.0835881842718,1278.6556151465495,1026.486685616729,1330.015232246204,1827.0302911599385,915.0082076968931,1868.7350657141963,1782.124523749101,1417.82315844069,1098.844399248437,1078.85703428165,1887.4471064193708,2617.885331266496,3.9,280.808,0.08,24654.603
01-2022,1647.7850767481102,1437.7396240766652,1221.4880539334233,1228.13580490953,1857.453639007072,1657.3873409355235,1801.4242706923096,1458.3649267662208,1698.8304030337163,1049.4263785358896,992.857248060966,1547.2069552330483,1119.456518057785,1719.6667563794952,1028.6811949863254,1293.0382252775007,2254.548997138278,1707.9085638473025,1042.4473068688446,1482.1858447938025,1415.987589903805,1670.678017501752,1497.6781504054263,1590.5268501828714,1024.7705995659296,1021.5370687616721,1458.074353865464,1647.380230969464,959.3034991821386,1198.8424892459918,1233.5588930255738,1022.694034915171,1056.9395928649521,1253.0331780797155,1297.0952557901173,985.8817404972247,1191.1579533941765,1095.4848759253791,1512.6416541427855,1260.5883946171784,1039.4338007110393,1338.9189422396546,1992.3551191933357,919.7369692299935,1881.8454071465521,1808.875271255813,1429.0287042099908,1075.1937114028146,1092.4722129401466,1914.8392929717006,2630.7219412583418,4.0,282.39,0.08,25029.116
02-2022,1654.9986170398859,1449.784408170295,1225.3082454938406,1245.175002297969,1894.5148849444595,1663.94101811042,1817.5558759566916,1469.2927405469168,1718.66838003557,1063.1921113855267,1004.0700333696238,1580.2894788753822,1127.911142388475,1717.2774195614247,997.8464444235979,1308.065478586536,2267.043663022107,1719.3310723133902,1043.6578629816752,1511.2238066155378,1414.5230396210425,1692.54676855401,1506.641601188151,1604.9550211285334,1033.7991937160834,1029.086987847587,1458.987916297029,1590.1083611171816,955.9332887366526,1203.6910432365514,1241.403948973982,1027.6438583674083,1058.5484855152788,1275.2198781380296,1311.0722282295233,992.3495687197366,1194.8147801260147,1109.4647251333026,1528.0147235858165,1270.4757436226935,1045.7600083642938,1351.5780979513177,1848.66808070203,931.4494901241163,1892.907158151004,1837.483510011037,1445.243115012821,1076.4086998532246,1110.2151427044926,1821.1207985287194,2663.6325588941495,3.8,284.535,0.08,25029.116
03-2022,1675.0384324161653,1470.3754123181689,1227.9625971095186,1255.1445692554805,1912.809841494135,1682.5009175049029,1834.2170868937628,1478.6900850243533,1739.8684762124012,1070.4560551234072,1013.6900624686739,1604.9170596359306,1140.1273577810186,1734.348276539831,998.5152252240931,1322.2798523574456,2286.1874356473,1738.4628658546687,1053.073717098776,1532.832046175651,1431.705687605018,1701.7878691816306,1508.7802961072168,1605.9554945423176,1048.0477420986758,1042.1213776178552,1474.8202385020193,1617.6561254858523,949.5517258478387,1208.5438306575059,1219.5385552566229,1036.7505132756626,1071.818469989633,1286.5320402752163,1450.609074660639,996.2652870533133,1206.532553679843,1126.5606647109403,1554.972763479009,1266.014956639224,1047.804924443377,1363.5862974059194,1885.1751724337112,933.4656038433538,1908.721727268895,1840.322304002072,1457.5801545860754,1081.0488957630228,1127.9802400186447,1782.2087063568633,2694.1184224612593,3.6,287.553,0.2,25029.116
04-2022,1631.4253234946243,1488.964481361919,1176.50667413043,1265.63059918398,1948.9242802012718,1699.7148038128805,1855.7211049799564,1495.8400218547172,1767.580324609061,1086.4293597035946,1021.4270212728165,1648.7689131453894,1197.589175004166,1746.9848447701406,1007.0632418030318,1351.5785471141019,2273.1024543312565,1769.9044647284936,1065.4838720813361,1563.570284240826,1458.4383877174998,1709.6010209632254,1523.0815043358923,1631.2945809581695,1061.1539023652736,1053.4364976892616,1493.1230978858293,1637.1793611099702,955.1872721940416,1215.4151995811396,1232.6565954253488,1048.7130068837007,1086.964804083823,1308.3892015975441,1344.7480939256966,999.1087666748268,1220.0360674572512,1141.0350692069878,1579.8905926253212,1281.6655317316324,1048.9408335616897,1382.518224604507,1922.2512643817486,942.685831647969,1931.812554307193,1878.1282223757241,1479.5378744350892,1092.9742382715658,1142.8784353310086,1795.862238493171,2742.815517414354,3.7,288.764,0.33,25544.273
05-2022,1644.8525014769646,1512.3142662242326,1184.2932209594214,1279.0624398290506,1958.5398620791311,1719.000974199731,1877.6018808427732,1514.1169774464627,1804.767232216738,1096.423721057123,1026.7993163248677,1660.897617419901,1239.67630243092,1767.0818868657868,1019.7709176922574,1382.5569510711623,2258.968646780951,1795.4788169114756,1077.2448223196068,1582.7267374466674,1480.1973139011848,1757.209950981571,1533.655360898003,1656.975318794347,1038.269878316524,1065.8420774578924,1536.177956851666,1657.1518928968683,972.4055322419968,1226.5235422679832,1248.6719791732096,1060.6138986510487,1071.9545347975773,1327.2357254750805,1313.1240996308798,1005.2931715280207,1238.1477628662365,1159.4422961886423,1595.174493565263,1291.9013394821918,1064.0656705648335,1400.8314316649414,1938.9881893475565,948.4324945089418,1955.4741391956,1909.8593411421944,1499.1083950241782,1102.117771453425,1126.1429293268623,1820.6613999843646,2730.7235652493505,3.6,291.359,0.77,25544.273
06-2022,1649.7674715801857,1532.4737445264673,1195.7771771154194,1282.9466534366964,1996.0419083634924,1743.9668317660432,1901.057542545066,1529.6465934459547,1834.6885585145421,1110.8927916465143,1036.4247549391703,1672.3119635545875,1233.5742954825764,1777.5601680541452,1029.928409099818,1484.976305745646,2278.4832981379936,1820.2449198051581,1091.653821839052,1732.426033318257,1500.3541365052072,1789.1886675446203,1548.1903789225753,1690.1146908420071,1092.5864816414808,1074.4542864324833,1555.655555205457,1653.7838457149,986.551072099634,1244.8253875709652,1259.7077485939722,1078.9752232958722,1061.10436234918,1349.6330846799722,1323.0326946209916,1012.1630611474708,1249.0183262965284,1186.2577032341312,1605.772953725088,1309.1916433950114,1078.5242527302662,1403.8964456766103,1952.4338497692966,955.8435078294764,1983.393743228279,1927.6114425907015,1519.0292485091613,1115.1467122864271,1141.4500937640682,1831.01941284014,2742.1506798213136,3.6,294.996,1.21,25544.273
07-2022,1649.989814766182,1550.7098468571364,1203.1451831884985,1148.0511376987909,1991.3016082449271,1769.3524600246346,1920.8793190391907,1541.9067742134725,1851.74186593666,1123.2338130247829,1054.489256523552,1675.457044533184,1249.6177211703066,1784.9211406584536,1023.2156297212125,1484.5899751473864,2291.53670665036,1832.2506444796848,1104.1144267390325,1618.5979084984538,1505.7674604742076,1836.8244540968562,1563.9051486102608,1699.8836203801052,1088.9923035065362,1038.294336911958,1573.6958022547562,1681.959405685084,993.7521709962728,1258.9893324539655,1268.2752833279815,1092.6236258170513,1071.7632795822776,1357.2168759508047,1330.5241271111852,1019.0522414227815,1265.2470939757532,1189.8171238579425,1612.977245427244,1319.981345134147,1080.9656474395827,1416.0552351485749,1977.6320143387827,962.5761140769289,2000.206300961723,1924.8576998894796,1537.3790906196346,1134.3086200604805,1144.6351262778594,1831.2769758863744,2738.7392543266087,3.5,294.977,1.68,25994.639
08-2022,1656.5611477427303,1564.8376420328275,1206.5904842461682,1148.027168339883,2004.430817035282,1789.2398878451033,1933.3590819310216,1552.2496917694766,1853.2976587942396,1127.0939411005645,1064.897122100427,1686.6150922883317,1256.5133791061542,1781.7697889125236,1041.5654026541372,1477.5302802537676,2302.0940540927286,1843.943028884901,1112.4623200760266,1634.5030810082317,1517.0894255079124,1855.1949245241412,1572.7870384530768,1708.454566253593,1066.022221161813,1043.8143691522148,1571.2311521180745,1670.5574183570925,987.0565566060388,1280.1883081497597,1277.5513827738184,1103.1215859316778,1079.2172594137703,1366.886646826513,1333.8562031925603,1023.9059015996712,1264.107422146459,1207.0704956937384,1625.8816381642516,1330.9999493820587,1080.1990028361997,1427.0564291000755,2008.6876113690128,971.5978353241524,2011.9769364260462,1938.0627903451361,1538.7022436956631,1142.5660190703861,1097.133899458548,1832.2311578774645,2762.1845602023436,3.6,295.209,2.33,25994.639
09-2022,1657.1311074466341,1576.6573386580585,1206.627972334085,1155.2948076382525,1988.228399865373,1801.3677223956677,1937.4110805615715,1560.135138444004,1847.0777260514628,1136.696711891333,1067.85100956932,1677.184447421673,1258.6843739724197,1770.8204723681865,1034.1011988466876,1469.28764012572,2309.017957134153,1847.6927138205533,1113.908818364356,1635.2471995207113,1526.3318179646449,1863.4900215718992,1575.389553123982,1697.5907845265217,1071.0171133244858,1047.531158010418,1577.704160666595,1665.70063040834,994.2632020589169,1287.4665125929084,1280.8877936002477,1103.0655594132788,1082.386341266019,1371.801444657018,1335.8009210610933,1023.7160551334717,1266.552254812311,1205.1007151744989,1628.123259854944,1334.3144538717313,1096.4170024509083,1426.960873010961,2013.0609878962975,974.9817375730569,2021.402944725512,1944.5159305368293,1553.7504458571784,1145.8405985813986,1089.085783863065,1828.8543003721113,2754.7700529413746,3.5,296.341,2.56,25994.639
10-2022,1651.1217345024068,1557.735540238519,1204.4713384921388,1150.9616225836492,1994.4620928929094,1806.5319894352829,1934.2986758154775,1565.751808296081,1845.9716961890701,1141.7373924067297,1058.9498056530579,1677.5907707826293,1255.9606494061152,1721.189792016804,1041.5494423779458,1446.909011298254,2309.79486527181,1852.3502625442059,1114.4354738372579,1629.219216846778,1522.5305443137995,1859.7688334384832,1565.1376789968026,1700.8233220845364,1077.7559655181738,1050.0428942943968,1580.6015797901775,1660.7224930894035,1002.8790328092384,1301.8444443332517,1283.610571084554,1100.9160382902728,1083.4753703535473,1379.178641775756,1338.8538702000267,1024.6872535568807,1268.6602489542527,1071.4487630500582,1626.944471352257,1334.511826779244,1106.0903817094754,1431.161519342813,1997.5542656721805,980.2971351064186,2035.4638556461787,1939.3137111750011,1541.1747103242365,1137.485794768827,1062.618522685605,1834.8001369265196,2753.282402958683,3.6,297.863,3.08,26408.405
11-2022,1649.3370957062232,1550.9864798327844,1202.0784369414928,1157.6629330257792,2006.7787670891564,1721.139571174963,1928.582733308719,1568.4560894180777,1849.145119672898,1145.8969935169382,1066.250742417349,1688.791500769732,1252.8347811998292,1717.9595690818342,1033.209388315473,1433.413509713923,2303.694481373324,1845.6881447789503,1116.6635168040689,1601.9410520485767,1518.1471905353799,1844.5732954783336,1560.0167536252459,1701.4219128915674,1078.0961412978647,1052.697705759712,1482.9400743948931,1658.720917791178,975.0516161332192,1298.6543112197996,1285.7887373096078,1098.9120039446746,1107.3843207024795,1378.1810516176895,1345.0999913992011,1027.694150365135,1267.0470844857412,1064.2511924001356,1620.4885909282657,1330.3404466799027,1109.0720917795159,1428.7955514660061,1989.220057645057,977.5992092591907,2051.6490810481387,1940.5118785715063,1542.622128361912,1142.8659092521973,1061.4478089039205,1833.3519745228725,2772.556665640372,3.6,298.648,3.78,26408.405
12-2022,1653.2376755416433,1549.236533678208,1202.3321311504633,1164.375555602396,2012.5492691049249,1663.9857522347304,1925.8956655144516,1569.4729560580402,1860.5871861871517,1147.3170743095502,1062.6044400711,1714.6722600102198,1250.1966455756979,1641.4905136776597,1064.0684198621761,1427.92280440067,2270.0245836861995,1844.2246321026141,1122.103178995904,1593.680804699572,1533.0518530138943,1860.208845339602,1567.928775074982,1713.5375003121987,1078.6378708675645,1057.2516009362912,1466.195340534924,1660.5981941634918,983.8635061990237,1307.3946127792774,1284.9730135079092,1106.5120513700194,1089.8614864176445,1375.9583047688757,1345.4927712480396,1033.4711561051188,1269.1404916084348,1056.4268214628466,1591.0447938381885,1331.652389703611,1098.0738076828225,1433.2938948113165,2019.3176032038295,985.7029174478087,2063.5354495701604,1952.5664396539614,1540.9173800383642,1152.6156250445954,1068.347254442213,1843.5249985561125,2799.776296159986,3.5,298.812,4.1,26408.405
01-2023,1661.2328625528694,1554.776617642373,1202.7598235507955,1248.4013736628985,2015.307818134378,1663.8498170963137,1927.7558298713695,1573.223846021016,1860.332856928281,1151.010330117769,1070.593136961904,1744.2149862102744,1241.1713386278464,1752.3326363928052,1056.7416398059947,1379.4185707410334,2271.206847462128,1850.7588213610802,1129.0354271683238,1582.2398299444244,1503.6146226923192,1859.0030717139412,1386.6753995003626,1718.2559687543849,1079.4056162119289,1059.6020896869243,1469.8637411876741,1683.4238719267803,988.539713464125,1291.18493364871,1266.7786269577657,1111.19668019154,1092.3989238845481,1377.3020731507495,1306.379904260233,1037.1847915843418,1286.8635157704514,1049.0491102367625,1601.829449647538,1334.7189331453117,1092.5253166646164,1438.8022546788995,2052.467850965985,989.23632666774,2066.191362204269,1976.2977900881795,1543.16519880743,1168.0371996620192,1074.9394314552976,1838.5587605018388,2818.9202705845983,3.4,300.356,4.33,26813.601
02-2023,1665.8699170554532,1566.1610844186766,1202.6597911163924,1183.2793895917914,2007.96764313947,1671.490321276184,1934.098208359558,1579.9294779401969,1867.6738776481725,1160.3172190650826,1067.799861190521,1764.9215456983995,1250.0665317566866,1747.9364256872962,1063.887508164613,1447.54127382255,2278.550655466985,1867.398080718592,1130.9174696543737,1595.7619102300077,1488.6154787391167,1876.1793628947262,1580.7452241204653,1714.9261514280197,1035.1063931799495,1042.826823206919,1480.9259538706704,1682.6483520246538,992.1740333762858,1286.88987701092,1275.5657456777233,1116.2189883593333,1094.9283591971212,1387.0231826742145,1317.1318984895317,1039.7252806820645,1260.439756040977,1050.805625770423,1567.431008726075,1337.6821433066511,1100.0143769968317,1447.1068229074438,2071.6640661988654,995.0707621607253,2064.3822875788724,2207.433334157374,1586.4071735943917,1108.1351351898377,1086.1023277412269,1848.9705866251259,2835.0787772104673,3.6,301.509,4.57,26813.601
03-2023,1672.366971008294,1505.692628622407,1202.7174974578807,1188.4901661501424,2025.1024031868792,1638.371802959957,1944.7761659329656,1597.2652692594497,1882.006024351221,1171.134326243879,1080.2269155690492,1783.1605287662749,1221.9576515760589,1774.3106070923702,1070.8609974702242,1457.4052492388403,2256.6859618726858,1885.154540162536,1083.8207547417348,1611.5080258906387,1474.6354523345033,1874.6358983169898,1400.776077064732,1716.0945513066067,1020.4061168993243,1050.634337139358,1509.5747204765355,1691.8540563448532,999.0408807880694,1263.7060570726726,1287.134731834056,1124.3994735439258,1099.8614416464034,1401.5032630591488,1336.5051352437806,1050.9214342416813,1270.1660321349639,1050.7541988565815,1570.898953282651,1331.467192350745,992.8152753726245,1458.9142967164198,2064.479593336874,999.3205379175961,2061.108986821774,2091.0902882531173,1595.4870728558165,1109.8660791925886,1075.4652758671944,1844.4839711205714,2842.8284587571748,3.5,301.744,4.65,26813.601
04-2023,1684.4459580448552,1518.8179646634208,1216.340062906498,1194.8595462337717,2052.372757826218,1598.7833909392573,1955.9823680912234,1609.829892044922,1912.9262946489844,1156.4268405671244,1095.4627738798822,1781.2794573584472,1243.4860936705911,1796.0470674953756,1081.0806257546033,1414.0707059864096,2266.781197533758,1895.4997241777542,1088.6101475679598,1512.5105693677394,1485.9054702755966,1894.3682170350755,1408.4712651178188,1725.0122723088298,1050.3183477824227,1061.878385502832,1533.4322440874093,1696.7469600244815,1008.4507107074008,1282.7961292919729,1241.113727956264,1131.362792900147,1064.5240155974525,1415.635127973561,1309.0071998496737,1057.79746546419,1278.046833558948,1057.5252495779935,1582.1669019325739,1339.093379816253,992.9269294975903,1469.4088125378148,2089.8577956899794,1004.399295248797,2059.739368808264,2075.2818198963228,1624.4921414798625,1112.0952784370018,1079.496700204021,1852.620999679473,2872.3110279707703,3.4,303.032,4.83,27063.012
05-2023,1694.6767934481466,1531.1014377777321,1198.307615329641,1199.7257401841746,2088.103640166629,1642.4926183043979,1969.2159886562185,1529.3731661695222,1935.8173565791585,1170.3647760784686,1109.204651350882,1770.718439789614,1255.2682722221991,1830.1675629561694,1090.1404393948073,1416.423896151868,2259.6625678262158,1911.9274458543514,1091.8028184150655,1526.3524575838674,1521.2351215688923,1906.1319246731937,1416.375335385499,1725.6000446687194,1069.6506350071925,1044.7441202624382,1549.3164342087357,1685.7803686825434,1025.3094976777406,1299.901422419413,1255.9170641583999,1138.462613553715,1096.623346954651,1417.9920879908398,1258.946564124718,1014.66282070832,1217.5631794117337,1061.835215893632,1599.3560199422373,1345.6496454857945,1000.7202495271367,1494.033977333289,2116.4922693961357,989.2110357724378,2009.2872872172923,2079.8713421287657,1610.7201940982509,1115.3031550969467,1086.5490806179123,1848.7473679177651,2848.702283848097,3.7,303.365,5.06,27063.012
06-2023,1697.8207602699183,1543.4204115661412,1205.2382774293,1204.7714992924828,2120.473466152908,1666.0141169140286,1979.6848724946533,1537.6835901774791,1959.3095299775991,1176.954964694745,1094.293606402782,1780.6861489900775,1264.6557509023366,1830.0490156127198,1098.4929871272893,1431.743389328337,2272.163426004716,1925.5614382870776,1095.461404850121,1543.2819115258594,1521.046209759948,1934.050423542494,1427.6621559191228,1741.7835772878516,1035.2860597542197,1046.4306961467269,1577.5031611544027,1694.643767188397,995.5646402022074,1306.9549929924888,1263.303326924311,1142.2557621847789,1090.6744270183215,1423.330083991316,1265.4158090523358,1022.8122620218555,1228.1053470750699,1075.544790591912,1607.8688760837226,1343.831222679583,1011.4033739901621,1480.3851136617843,2129.8972670187236,989.4291068725995,2016.5073686339686,2089.091943360792,1608.7080140406406,1124.1360814863272,1096.7012887840333,1856.751323017497,2864.1244429034573,3.6,304.003,5.08,27063.012
07-2023,1705.4456371548415,1552.487971961756,1208.2542040927106,1203.2258098158197,2123.737587734774,1686.8822370270282,1991.1634443637595,1544.4901384891057,1972.1173057035683,1191.5145193517549,1102.5367192410147,1794.404856199763,1268.149626311113,1838.1429621931131,1102.831339471997,1442.1678209871745,2285.707746212072,1963.341901215139,1102.9449797285386,1544.615254645931,1526.305776656479,1947.336809466492,1439.1284263094335,1764.9358621487295,1042.3998224111158,1050.0941653341995,1574.34311738416,1705.0492894229583,1017.4179113270648,1308.489646539827,1280.7285906985026,1155.6421923576963,1095.7492340653532,1450.2734559886633,1267.5343066234482,1026.752727986088,1229.9755856248926,1087.5444152393075,1624.0152983885423,1349.9687186708259,1011.5050746918067,1485.8697679337106,2128.025847378392,983.5453320600161,2049.3144767291274,2094.353096711754,1609.1902869347628,1128.2554107286685,1109.672393858119,1862.167771015911,2881.8997742225397,3.5,304.628,5.12,27610.128
08-2023,1707.5232541825385,1557.8916628392958,1210.9915545239735,1200.6029874138273,2128.791927807436,1683.1521921274807,1998.7539965528954,1552.088627620544,1984.4457173743726,1208.1014359644737,1109.566528219637,1815.6385088462794,1272.1737387638839,1833.1103154468492,1111.6719646604718,1495.243904807651,2292.6023207783555,1993.163180968044,1109.6357614176131,1547.1673325520394,1529.000581361431,1962.867864574329,1449.4542628280767,1788.3613288784509,1026.2332590400906,1060.8833898615405,1571.9439668042955,1719.3642369484535,1031.489054305854,1311.9080458369485,1287.0140709938498,1163.3873799383427,1101.0030990323692,1469.313951488565,1273.3117593002837,1029.0610538667886,1235.8487971722088,1098.0170780183123,1632.6515484719403,1355.4962631601302,1017.9169712146826,1493.4390110590991,2136.260985100772,985.0029850685554,2035.3017644306312,2107.1880623302054,1615.0601394516939,1135.97703033463,1112.919790395364,1863.0351885584666,2907.560015531232,3.8,306.187,5.33,27610.128
09-2023,1710.4432990671535,1561.778366535387,1215.3811754004225,1199.2989637233923,2115.0260013101392,1678.0235529384197,2002.2359576428307,1552.4298305426155,1986.2149598962287,1218.2341198699214,1112.1968317066726,1835.1969192427478,1277.4865497089822,1830.387869606225,1116.6178241703603,1446.3221551583838,2300.4261132768174,2007.8491158194097,1121.443551699923,1537.2882667440306,1537.2917378541906,1963.7822697245688,1450.636820667591,1781.8651626080002,1029.669581093703,1064.8071378826598,1565.929706768737,1706.3526815320333,1040.8143608883915,1400.2582939081553,1296.6709574300028,1176.729981750058,1111.4577772232733,1484.7855544007377,1276.9831239223286,1040.4369190870857,1241.2525977477046,1098.1094438871687,1643.1927272714254,1355.8585561113998,1023.2651011659709,1501.8349707531552,2148.8750473238533,989.4053067185145,2070.1842549551534,2127.105173659054,1631.326098104134,1135.7308844373813,1112.4383347062897,1803.4726403388217,2922.944986514596,3.8,307.288,5.33,27610.128
10-2023,1712.8472693399065,1563.60221621533,1208.2246934973516,1204.1005882203065,1985.2067965052593,1669.2920981974457,1999.850052492854,1556.7511856713138,1984.784933156768,1227.4681147702736,1101.210840406417,1835.073775145316,1283.9470191838473,1839.3344992148366,1124.3201015848033,1427.9835871203675,2301.3164183300028,2008.842825418443,1129.8219260663716,1528.3344445204536,1589.0861440642939,2063.3974867317324,1450.5841002985217,1765.399694236258,1030.368766686673,1070.695165992645,1578.206533249382,1714.611025234773,1002.4990923847892,1396.013128513929,1305.7624917906296,1174.815330304688,1122.8404003993194,1480.830762088265,1310.969645160043,1036.1277976028896,1250.3367350326807,1105.5788964402561,1635.5911383844464,1354.5905898700846,1038.17907794194,1497.7945335824118,2147.5702050629075,991.731010122384,2060.780072205053,2138.244413980429,1635.5393652234993,1140.353943904648,1114.7205909386403,1813.6597783465431,2942.7252880521883,3.8,307.531,5.33,27956.998
11-2023,1713.154301433564,1568.3403554691795,1207.2789885256827,1210.093532589177,2007.985743018465,1675.1548064807182,1994.6933642855558,1560.0434951103737,1984.9275581021188,1227.8062682923448,1082.5099091586058,1840.6267359900828,1282.0341257171515,1840.5159572007544,1121.9868655668963,1423.3402020279852,2274.421382877053,1998.8387102308575,1132.940192135702,1520.1179986617153,1589.0583148523563,2066.0603543710126,1449.8687155129576,1742.8227112856907,1030.1898386277294,1069.3024447079254,1583.8018184123555,1713.2039136781539,1001.9035610677673,1365.5701514704062,1304.0591494574687,1170.1013580291246,1123.6873764737259,1484.8168264525832,1293.6831479933394,1039.4365618460927,1251.9589345956526,1104.9155615761008,1632.526573406465,1341.6363989514612,1028.468166928875,1498.8545688881707,2159.1476128100026,992.2182265670049,2062.9368506385617,2131.3220514545014,1620.1306588689133,1147.7545455900292,1117.6379977183376,1807.8514716183474,2958.0159581616062,3.7,308.024,5.33,27956.998
12-2023,1715.6412478118375,1575.1890826797212,1205.495181384165,1212.8352398800776,2014.5371297705187,1674.2986461651572,1991.4352533196711,1561.0475165848482,2001.971248567893,1227.5547326929138,1084.2854809921025,1836.1304250134024,1282.6943532488222,1837.3772653209808,1123.1788335625586,1423.3683251269883,2267.454969054335,1995.892176649036,1140.2569431473482,1526.693593960987,1587.6031591354397,2073.336119509613,1445.9907967187828,1752.733280973814,1036.2269862463977,1075.3837861696861,1575.977028111225,1713.8613974103528,1000.6516601958474,1351.046754846696,1299.327511585735,1191.647119533825,1126.703711489816,1492.9713316929083,1289.4596897398203,1032.5751164748308,1257.5271272883808,1074.43053525523,1629.4431131411989,1343.0643584797515,1041.676501182153,1504.4656568202065,2173.1778644255332,992.9536580998745,2063.5798037971235,2109.057372421333,1617.5152792991903,1146.1556941776334,1120.0035242210095,1830.4991673126067,2924.5490299138078,3.7,308.742,5.33,27956.998
01-2024,1712.3573028526919,1577.1720036680076,1213.7682794851025,1253.4741184155941,2000.5270726498322,1676.784550288127,1993.9108937514227,1570.5874314782275,2008.3561495297677,1240.0996028181717,1086.5397947051,1839.2820912554548,1293.0957017751466,1817.5911259694324,1116.449285235305,1386.3304236992485,2270.2370130388863,1998.5194634178138,1143.272135778767,1519.4310782558819,1593.5808717977586,1987.379209303149,1465.9674946248986,1776.1312531064705,1037.665277038492,1081.49510276345,1572.5044070544197,1713.735012024982,998.5735226074277,1359.4155588873564,1315.0245390950072,1172.019092735664,1127.7150792357968,1502.212341688281,1288.5048449201097,1051.039805644761,1259.0542809192436,1070.7247240811391,1654.5059295184244,1343.1261563042926,1053.7287807604382,1516.7214826571171,2190.761427515458,991.3910064510085,2063.5263391209683,2136.748952858286,1625.8640903825012,1142.7786159985587,1115.7867415017815,1839.4986836333705,2964.001221476086,3.7,309.685,5.33,28255.928
02-2024,1718.5544402907087,1578.7396037990484,1215.1056851784185,1234.5284382799127,1987.5342438166972,1676.8722949740677,2001.5972539732468,1576.7591948710708,2019.7798589351148,1233.6898645140298,1115.711245087897,1856.1962957195474,1311.1196577283044,1829.8375433619906,1126.0032354147054,1392.4168238083075,2280.276830014865,2017.7508030975382,1121.726237678946,1527.9074080688151,1593.9980052302346,1989.122092357345,1472.4235188723462,1810.057935895943,1040.8456604529708,1093.3437775628763,1584.1843644119344,1727.746677760596,1009.6166322874178,1369.2862060347568,1283.6159636122745,1161.2644812696872,1135.2225489507607,1497.9392090230485,1347.2096258017068,1056.9931177609333,1238.286831966091,1072.5848862649977,1670.188263997329,1334.5674612412763,1008.4186303958013,1520.9217125016958,2198.116881109547,992.468319609085,2061.0334225845936,2258.9374949507774,1635.3585735480374,1136.9499343665,1117.33772964157,1859.2075179881435,3208.273759657355,3.9,311.054,5.33,28255.928
03-2024,1734.898640126572,1582.4573972357898,1231.9115961309744,1235.9593877696148,2002.1194762959715,1680.6856990419537,2012.428422483132,1597.002092115021,2032.7125779516455,1240.9250687286676,1118.7713953987989,1861.7505650574851,1323.349953352635,1801.8528108282565,1118.4827581414497,1398.760676726013,2300.5703616491037,2047.3162551224564,1130.2547394556332,1530.4618148993904,1623.7066605122573,2015.2484389359308,1489.4371537792447,1816.84619347343,1040.274143422006,1101.2110060576736,1606.9863839414495,1737.9345058119557,1021.3455117056734,1396.2329056770598,1287.2601282918647,1172.6251052310279,1139.3329605005963,1498.452333575937,1348.5640025217288,1062.5029474193257,1243.5957636545506,1080.0169808998094,1697.3536129833722,1367.8437024991179,996.3679210032183,1525.5203644192452,2219.749902023418,999.39344748329,2057.473335043768,2377.606614552407,1658.77973216026,1157.0529164082343,1132.578332326681,1851.3466243495473,3199.1073756392384,3.8,312.23,5.33,28255.928
