,Date,AZ,SC,LA,MN,NJ,OR,VA,RI,KY,WY,NH,MI,NV,WI,ID,CA,CT,NE,MT,NC,VT,MD,DE,MO,IL,ME,WA,ND,MS,AL,IN,OH,TN,NM,IA,PA,SD,NY,TX,WV,GA,MA,KS,FL,CO,AK,AR,OK,UT,HI,Unemployment Rate,Consumer Price Index for All Urban Consumers,Effective Federal Funds Rate,Gross Domestic Product,S&P500 Close
16,10-2020,1408.356183055034,1229.675170998495,1122.437212518228,1178.9762796903356,1581.8282199142595,1460.0754147827645,1288.8409169538968,1485.3707357155804,928.999512425538,914.7231243115872,1405.3284733701437,1056.2002080638904,1501.2393682828808,1019.7647845107616,1236.623551341441,1982.482845993344,1524.377560781742,1040.7556597703342,981.3505575925908,1204.2023589588264,1516.369441691226,1301.5367317174685,1354.4178327455647,971.4513469841462,931.4640368958568,1269.5715489941415,1478.4937514141166,1002.1126313079294,1098.7549725669385,1118.2415455954244,935.6027557791888,935.913271264237,1164.333091772143,1207.0660119888769,930.7523225499792,1084.9762636027351,928.7883962136868,1324.8329368831348,1145.1102808942617,970.1438810364352,1120.5630780777317,1759.445709351378,847.8687412292295,1491.3305771056037,1566.8870062629378,1286.8884811100545,984.359598626808,969.3120243586092,1552.5047030998978,2266.531481208314,6.8,260.249,0.09,22024.502,"3,269.96"
17,11-2020,1418.4357262783028,1233.9556941462592,1171.0107869534686,1179.6886864524697,1580.340288398212,1468.8820805414075,1298.5644805263014,1495.8836312365115,927.566907516952,909.1931007361712,1413.5656003619415,1061.1661801605435,1511.4787784161554,1024.3017819724755,1257.557464969671,1992.651583370548,1528.4256282327271,1032.3373607641624,990.2938399942924,1209.2597274763027,1530.461177768228,1308.5867637907825,1348.660371789367,969.686122913032,931.8955296070192,1278.8697637277758,1472.3413943261469,936.1330139784286,1090.4672997977125,1079.1078966298892,941.5868045338736,939.1499340641642,1148.2831072758347,1216.7917823444088,933.4037117085184,1094.359353179021,938.1899826966752,1327.4701275088794,1147.746611894401,973.4636846038176,1121.1460884309424,1750.3996772589708,852.7962696047953,1505.8456570323217,1569.9357787288195,1293.4303503524168,987.0541668002562,977.428845091188,1578.3097602056555,2277.1915388330985,6.7,260.895,0.09,22024.502,"3,621.63"
18,12-2020,1424.7748797616896,1238.2605367656672,1150.7310976322794,1179.0666528442057,1584.9038190812544,1480.484879027749,1302.9531158027105,1504.4680397524476,925.6625059523268,914.8915262751584,1429.106294214614,1063.8884460926636,1518.2561565423794,1023.3131744126816,1272.2898792642825,2003.5978634391377,1531.0590542355108,1034.6746492100733,985.0480718096812,1215.4490890940874,1519.6683486891982,1319.2717304650423,1361.526943254818,973.720974678122,932.3904758786334,1276.6165537041006,1472.6291267292004,908.4139747899712,1085.2527190524338,1087.4236826804963,943.8700462439078,941.4371938845396,1152.0907313563828,1221.2797772018396,937.4512959252204,1097.6511448863273,931.1582295561698,1328.0993545831218,1150.1834979864727,985.795890284467,1124.7240213990576,1768.1288373033165,854.9536230741535,1516.6816028659075,1573.093616578871,1294.6606367961328,989.6649511666526,981.3917615409956,1588.3290445027983,2322.334480640889,6.7,262.005,0.09,22024.502,"3,756.07"
19,01-2021,1426.8974392155408,1243.8174229264855,1173.4394724406263,1185.6416987908822,1596.5623820949213,1494.6363670639564,1306.4763225877798,1512.404914793461,927.0347269201184,914.5246577385792,1427.8980773874137,1067.9752085699606,1528.519530217164,981.7607169665788,1287.2368137808692,2010.572272795452,1534.898668405167,1040.7004297673082,1185.3173760881468,1221.284712774927,1512.9875012069308,1337.4126096401176,1362.3115283643883,977.3056850740631,933.6316770471462,1274.401556279632,1485.6386673440848,909.1556899635602,1084.8505045267882,1097.7344462843423,917.8747983575812,945.2298633949428,1153.9727835500642,1227.7525748296694,939.5399618192354,1093.1647104057035,950.3110387913896,1331.9720181924722,1155.2500673272596,988.7383081643824,1129.5315461312955,1774.8015151656527,854.7361980692338,1522.949304749487,1573.7585294443784,1291.3240549933598,987.892101752126,984.0976992881698,1601.589151333469,2359.3884728687585,6.4,262.518,0.09,22600.185,"3,714.24"
20,02-2021,1448.368066812806,1251.787809256975,1172.0477560112,1191.428841973954,1626.983452801156,1499.9843935766964,1307.6085765130672,1531.432682209554,933.0411170498384,909.011099165152,1436.672938513493,1074.9850120139713,1515.801244654923,1032.8695404748055,1188.7494881071284,2019.162539122816,1543.4337184154094,1051.9791894144612,1192.731142314742,1229.5326292064897,1499.1220693642306,1346.4439451517117,1390.1396223312768,984.8760965051384,939.615956324288,1282.3440903996748,1502.980542206678,916.0943468566855,1092.342619543741,1103.9946076480887,917.7714774024088,950.7839272845276,1160.9671236647575,1233.19111990179,944.36735841336,1093.8941120065415,953.9140112175046,1332.1471072294617,1161.1091395929325,1000.299306377958,1139.9390327376038,1805.661938388674,855.3843639294726,1535.0691569189937,1592.779916742683,1285.9607825091523,994.8957670781372,988.9282475686708,1625.404233944142,2455.1575895715887,6.2,263.583,0.08,22600.185,"3,811.15"
21,03-2021,1475.4205644571284,1263.4559652624728,1175.7646013358526,1199.6535839351327,1645.1566708154187,1510.1410785799817,1318.3070607309644,1551.2709135671362,942.3699888854176,903.8022260600142,1423.239211769317,1023.6542161234726,1522.8779269163235,993.6997235826648,1211.6590515592577,2036.1314843860528,1557.9709009145697,1060.8773928914366,1210.189488673982,1240.273038126605,1509.8276919405475,1360.6187125419235,1426.1741751799411,995.0919882693682,945.0383807588352,1310.4781084658046,1522.3461883735213,925.4948509909384,1096.5520608407287,1108.8034925954266,924.0253822818296,959.2668934030614,1170.830361146618,1240.199061519066,947.176441646814,1105.3506624674194,965.4823566907602,1340.5248226156464,1171.675003442347,997.1199823560077,1188.2380926542346,1666.005991966788,859.4943925239583,1554.692728614145,1612.0838596988333,1283.9218608558542,1005.7175504325784,996.7932675044908,1652.607085222347,2546.9959973496184,6.1,264.91,0.07,22600.185,"3,972.89"
22,04-2021,1518.3844405004952,1276.5523116527684,1156.398591604973,1205.7821519939257,1669.7932414394904,1557.2494426758874,1326.628819845496,1580.9220982333002,955.4751003213198,921.177802247304,1435.1451283829822,1056.2443113075997,1540.2486560424077,1001.2908463161292,1246.2781347847958,2056.4720136593137,1570.9021617596668,1072.1442250637535,1239.5345574347436,1260.6111422277606,1513.7813503336422,1378.85536366973,1469.5745930753642,1008.7234045721216,953.8083919974129,1326.3741696626396,1545.1797482679026,930.6307769730728,1108.5049368718946,1121.0069919399,931.7704695750856,968.8153000226316,1188.2920505538243,1249.8452723930006,949.2390672698532,1118.860821136663,972.2891486359938,1352.37913441781,1182.7829282568127,1003.000921191988,1204.7129395148552,1702.9161274838611,868.124810447183,1588.4400577020972,1626.7131062748751,1291.4639545930197,1021.7008477830054,1006.6457145501286,1683.122328579279,2565.8024066039475,6.1,266.752,0.07,23292.362,"4,181.17"
23,05-2021,1546.673861440686,1294.1129994722844,1167.6251605019424,1217.7856121627883,1686.844931557885,1549.9992666010396,1342.2222051599024,1596.3661345634036,969.6657343832628,939.0435704345332,1459.2999309239915,1069.714217034614,1579.546122669557,1013.8627721205804,1285.61168715864,2088.960934264356,1604.2297431793295,1085.434796972791,1271.4975331502592,1276.0921103273706,1536.0476976712082,1404.1322441814457,1499.7971253527503,1023.605239148516,961.0339577083508,1354.0309678963197,1577.738334321327,929.2801493623126,1129.2243719726134,1134.2052673444057,946.5427496930172,980.4360522453588,1233.4081556521526,1265.7952292212892,952.98088540458,1136.8829937244284,982.9514326473106,1338.3829370564658,1195.6864776931482,1008.3636738896672,1225.6359646132587,1725.800910645372,877.7413595367938,1607.2675200587494,1636.5564191441913,1340.5937544634262,1031.5294587459073,1018.408560037685,1705.6770241355468,2574.4314625364304,5.8,268.452,0.06,23292.362,"4,204.11"
24,06-2021,1576.9264742264145,1316.3786105478414,1178.3337809009422,1227.7734127687895,1705.117794471751,1576.9489979175555,1362.7171128944035,1611.6886253572798,978.8063109264896,959.466970331359,1504.0892369670837,1063.0673861030743,1621.1753815136915,1019.8413793383706,1322.5933002876482,2118.5736996761843,1633.5923995599665,1099.210393195379,1307.533773543365,1301.0501830339388,1570.822924915094,1427.9487395277365,1527.819496394458,1039.2986619327216,972.3560774667316,1368.7260482343445,1607.7972041443563,933.9566263670628,1157.3940488625403,1154.8344107169194,960.944698803172,991.8768441023536,1241.175618851247,1292.9970171988978,957.4663778109796,1154.8171791717623,997.1124321884284,1395.69469852891,1210.1271196447317,1018.1862257011056,1248.8247494554544,1751.9069344657023,887.0991208534282,1618.8522246397638,1668.9122877508478,1387.0067247234797,1044.4696303591136,1031.869487465709,1730.1323721503627,2656.27069829305,5.9,270.664,0.08,23292.362,"4,297.50"
25,07-2021,1595.1678408387695,1344.4957043195477,1188.7975392346586,1235.3748092615865,1727.8035328988108,1609.7908800888567,1391.8742423230915,1631.0564078789782,992.6962023730044,980.8756759296087,1537.961538993712,1071.6947779230416,1666.4606805099072,1025.4392779385305,1347.021897568301,2156.3341059289955,1665.7661257165164,1114.1508209328586,1335.396815623064,1324.62859243277,1614.9252895669774,1445.2446699810964,1554.8231292452058,1052.6653337364075,1022.21367357598,1403.5864358018005,1642.7662910818915,932.6184455041904,1175.7163277786476,1172.0562480685894,978.5819351142106,1003.2870471227144,1265.9343332836777,1326.5302702760089,961.9273269338822,1167.9130631298,1014.199765774319,1416.1344939448093,1229.0131944060138,1011.3055641718464,1278.3986240978018,1775.0789631104387,892.2685773091401,1682.6084496169165,1705.187098598878,1405.3299171352728,1060.1644602127371,1047.282652587302,1751.3997770704714,2726.8386652524823,5.4,271.994,0.1,23828.973,"4,395.26"
